"Indicator Name","Indicator ID","Score",
"Robustness","I01","0.4","*"
"Scalability","I02","0.4","*"
"Usability","I03","0.4","*"
"Effectiveness","I04","0.4",
"Corrections","I05","0.4","*"
"Improvements","I06","0.4","*"
"Security","I07","0.4","*"
"Testing process","I08",1,
"Coverage","I09","0.5",
"License type","I10","0.6",
"Dual licensing","I11","0.0",
"Commercial resources","I12","0.0",
"Commercial training","I13","0.0",
"Industry adoption","I14","0.0",
"Non profit / Foundation support","I15","0.0",
"For profit company support","I16","0.0",
"Donations","I17","0.0",
"Installability","I18","0.4","*"
"Configurability","I19","0.4","*"
"Self-contained","I20","0.4","*"
"Resource Utilization","I21","0.4","*"
"Complexity","I22","0.6",
"Modularity","I23","0.4","*"
"Instability","I24","0.5",
"Cohesion","I25","0.6",
"Governance model","I26","0.0",
"Project Road-map","I27","0.0",
"Code of conduct","I28","0.0",
"Coding standards","I29","0.0",
"Documentation standards","I30","0.0",
"Developers Attracted","I31","0.5",
"Active Developers","I32","0.5",
"Number of open issues","I33","0.5",
"Open / Closed issues","I34","0.5",
"Source Code Documentation","I35","0.5",
"Localization process","I36","0.0",
"Issue tracking activity (reporting bugs)","I37","0.5",
"User guide (completeness)","I38","0.6",
